Sample.1,Sample.2,Score,No..Alleles,No..Matched,Sample1,Sample2,cont,Match Y/N,Problem
Trebu039,Trebu079,100.00%,184,184,3031,12819,1,Y,Cohort
Trebu056,Trebu347,100.00%,184,184,11074,Y2534_11,2,N,
Trebu065,Trebu352,100.00%,184,184,12801,Y2533_4,3,N,
Trebu068,Trebu372,100.00%,184,184,12804,Y2531_4,4,N,
Trebu069,Trebu358,100.00%,184,184,12805,Y2532_2,5,N,
Trebu103,Trebu132,100.00%,184,184,12950,16955,6,Y,Cohort
Trebu075,Trebu337,100.00%,182,182,12813,Y2534_1,7,N,
Trebu076,Trebu345,100.00%,182,182,12815,Y2534_9,8,N,
Trebu077,Trebu373,100.00%,182,182,12816,Y2531_5,9,N,
Trebu084,Trebu339,100.00%,182,182,12826,Y2534_3,10,N,
Trebu093,Trebu344,100.00%,182,182,12847,Y2534_8,11,N,
Trebu110,Trebu284,100.00%,182,182,12963,Y2248_4,12,N,
Trebu115,Trebu225,100.00%,182,182,16906,2574,13,N,
Trebu162,Trebu278,100.00%,182,182,17856,2573,14,Y,Cohort
Trebu014,Trebu233,100.00%,180,180,1877,2532,15,Y,Cohort
Trebu102,Trebu287,100.00%,180,180,12949,Y2248_7,16,N,
Trebu175,Trebu226,100.00%,180,180,17880,2555,17,N,
Trebu191,Trebu224,100.00%,180,180,16499,2603,18,Y,Cohort
Trebu191,Trebu355,100.00%,180,180,16499,Y2533_7,19,Y,Cohort
Trebu197,Trebu235,100.00%,180,180,16449,2580,20,N,
Trebu224,Trebu355,100.00%,180,180,2603,Y2533_7,21,N,
Trebu090,Trebu385,100.00%,178,178,12843,Y2530_6,22,N,
Trebu098,Trebu285,100.00%,178,178,12932,Y2248_5,23,N,
Trebu172,Trebu191,100.00%,178,178,17877,16499,24,Y,Cohort
Trebu172,Trebu355,100.00%,178,178,17877,Y2533_7,25,N,
Trebu328,Trebu413,100.00%,178,178,15969,T_092013_025,26,N,
Trebu329,Trebu414,100.00%,178,178,15947,T_092013_026,27,N,
Trebu334,Trebu394,100.00%,178,178,15958,T_092013_006,28,,
Trebu336,Trebu391,100.00%,178,178,15959,T_092013_003,29,,
Trebu009,Trebu439,100.00%,176,176,1869,T_092003_086,30,,
Trebu010,Trebu519,100.00%,176,176,1870,T_092003_030,31,,
Trebu020,Trebu494,100.00%,176,176,1892,T_092003_005,32,,
Trebu035,Trebu433,100.00%,176,176,1977,T_092003_080,33,,
Trebu055,Trebu386,100.00%,176,176,11067,Y2530_7,34,,
Trebu067,Trebu388,100.00%,176,176,12803,Y2530_9,35,,
Trebu070,Trebu381,100.00%,176,176,12807,Y2530_2,36,,
Trebu101,Trebu283,100.00%,176,176,12946,Y2248_3,37,,
Trebu172,Trebu224,100.00%,176,176,17877,2603,38,,
Trebu256,Trebu311,100.00%,176,176,2533,15998,39,,
Trebu034,Trebu502,100.00%,174,174,1975,T_092003_013,40,,
Trebu081,Trebu384,100.00%,174,174,12823,Y2530_5,41,,
Trebu012,Trebu523,100.00%,172,172,1873,T_092003_034,42,,
Trebu095,Trebu554,100.00%,172,172,12865,Y2531_9,43,,
Trebu003,Trebu457,100.00%,170,170,1861,T_092003_104,44,,
Trebu040,Trebu420,100.00%,170,170,3032,T_092003_066,45,,
Trebu192,Trebu257,100.00%,170,170,16473,2579,46,,
Trebu305,Trebu400,100.00%,170,170,15927,T_092013_012,47,,
Trebu377,Trebu483,100.00%,168,168,17920,Y2531_10,48,,
Trebu060,Trebu378,100.00%,162,162,11086,Y2531_11,49,,
Trebu432,Trebu545,100.00%,160,160,T_092003_056,T_092003_079,50,,
Trebu028,Trebu416,100.00%,158,158,1912,T_092003_062,51,,
Trebu087,Trebu367,99.46%,184,183,12839,Y2532_11,52,,
Trebu094,Trebu349,99.45%,182,181,12851,Y2533_1,53,,
Trebu169,Trebu197,99.44%,180,179,17872,16449,54,,
Trebu099,Trebu286,99.44%,178,177,12941,Y2248_6,55,,
Trebu169,Trebu235,99.44%,178,177,17872,2580,56,,
Trebu036,Trebu492,99.43%,176,175,1978,T_092003_003,57,,
Trebu346,Trebu488,99.43%,176,175,12863,Y2534_10,58,,
Trebu348,Trebu476,99.43%,174,173,17911,Y2534_12,59,,
Trebu054,Trebu364,98.61%,144,142,11060,Y2532_8,60,,
