Sample 1,Sample 2,Score,No. Alleles,No. Matched
Trebu039,Trebu079,100.00%,184,184
Trebu056,Trebu347,100.00%,184,184
Trebu065,Trebu352,100.00%,184,184
Trebu068,Trebu372,100.00%,184,184
Trebu069,Trebu358,100.00%,184,184
Trebu103,Trebu132,100.00%,184,184
Trebu075,Trebu337,100.00%,182,182
Trebu076,Trebu345,100.00%,182,182
Trebu077,Trebu373,100.00%,182,182
Trebu084,Trebu339,100.00%,182,182
Trebu093,Trebu344,100.00%,182,182
Trebu110,Trebu284,100.00%,182,182
Trebu115,Trebu225,100.00%,182,182
Trebu162,Trebu278,100.00%,182,182
Trebu014,Trebu233,100.00%,180,180
Trebu102,Trebu287,100.00%,180,180
Trebu175,Trebu226,100.00%,180,180
Trebu191,Trebu224,100.00%,180,180
Trebu191,Trebu355,100.00%,180,180
Trebu197,Trebu235,100.00%,180,180
Trebu224,Trebu355,100.00%,180,180
Trebu090,Trebu385,100.00%,178,178
Trebu098,Trebu285,100.00%,178,178
Trebu172,Trebu191,100.00%,178,178
Trebu172,Trebu355,100.00%,178,178
Trebu328,Trebu413,100.00%,178,178
Trebu329,Trebu414,100.00%,178,178
Trebu334,Trebu394,100.00%,178,178
Trebu336,Trebu391,100.00%,178,178
Trebu009,Trebu439,100.00%,176,176
Trebu010,Trebu519,100.00%,176,176
Trebu020,Trebu494,100.00%,176,176
Trebu035,Trebu433,100.00%,176,176
Trebu055,Trebu386,100.00%,176,176
Trebu067,Trebu388,100.00%,176,176
Trebu070,Trebu381,100.00%,176,176
Trebu101,Trebu283,100.00%,176,176
Trebu172,Trebu224,100.00%,176,176
Trebu256,Trebu311,100.00%,176,176
Trebu034,Trebu502,100.00%,174,174
Trebu081,Trebu384,100.00%,174,174
Trebu012,Trebu523,100.00%,172,172
Trebu095,Trebu554,100.00%,172,172
Trebu003,Trebu457,100.00%,170,170
Trebu040,Trebu420,100.00%,170,170
Trebu192,Trebu257,100.00%,170,170
Trebu305,Trebu400,100.00%,170,170
Trebu377,Trebu483,100.00%,168,168
Trebu060,Trebu378,100.00%,162,162
Trebu432,Trebu545,100.00%,160,160
Trebu028,Trebu416,100.00%,158,158
Trebu087,Trebu367,99.46%,184,183
Trebu094,Trebu349,99.45%,182,181
Trebu169,Trebu197,99.44%,180,179
Trebu099,Trebu286,99.44%,178,177
Trebu169,Trebu235,99.44%,178,177
Trebu036,Trebu492,99.43%,176,175
Trebu346,Trebu488,99.43%,176,175
Trebu348,Trebu476,99.43%,174,173
Trebu054,Trebu364,98.61%,144,142
Trebu418,Trebu422,86.36%,22,19
Trebu418,Trebu457,85.00%,20,17
