Num,Mark,Date,Month,Year,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Fin
1,1891,9/13/06,9,2006,1,1,202,83.8,2,C04,,1,,
2,1897,9/13/06,9,2006,1,1,186,65.4,2,C04,,1,,
3,1869,9/13/06,9,2006,1,1,241,133.7,4,C02,,1,,
4,842,9/13/06,9,2006,1,1,234,121.2,3,C03,,1,,
5,3054,9/13/06,9,2006,1,1,151,32.6,1,C05,,1,,
6,3057,9/13/06,9,2006,1,1,185,63.6,2,C04,,1,,
7,3066,9/13/06,9,2006,1,1,147,28.7,1,C05,,1,,
8,1977,9/13/06,9,2006,1,1,237,130,3,C03,,1,,
9,1894,9/13/06,9,2006,1,1,139,24.4,1,C05,,,,
10,1875,9/13/06,9,2006,1,1,164,23.3,1,C05,,1,,
11,3036,9/13/06,9,2006,1,1,156,38.4,2,C04,,,,
12,1892,9/13/06,9,2006,1,1,322,340.5,6,C00,,1,,
13,3067,9/13/06,9,2006,1,1,141,29.7,1,C05,,1,,
14,1912,9/13/06,9,2006,1,1,267,205,5,C01,,1,,
15,1866,9/13/06,9,2006,1,1,183,57.2,2,C04,,1,,
16,3056,9/13/06,9,2006,1,1,206,88.8,2,C04,,1,,
17,3030,9/13/06,9,2006,1,1,199,74.4,3,C03,,1,,
18,1871,9/13/06,9,2006,1,1,192,69.4,2,C04,,1,,
19,1870,9/13/06,9,2006,1,1,244,146.9,4,C02,,1,,
20,1898,9/13/06,9,2006,1,1,152,35.1,1,C05,,1,,
21,1890,9/13/06,9,2006,1,1,153,35.8,2,C04,,,,
22,1983,9/13/06,9,2006,1,1,127,17.5,1,C05,,,,
23,1999,9/13/06,9,2006,1,1,123,19.1,1,C05,,1,,
24,3038,9/13/06,9,2006,1,1,119,17.1,1,C05,,,,
25,1877,9/13/06,9,2006,1,1,120,15.4,1,C05,,,,
26,3060,9/13/06,9,2006,1,1,115,15,1,C05,,,,
27,3034,9/13/06,9,2006,1,1,125,18.1,1,C05,,,,
28,,9/13/06,9,2006,1,1,114,14.2,1,C05,,,,Y2248
29,,9/13/06,9,2006,1,1,114,14.4,1,C05,,1,,Y2248
30,,9/13/06,9,2006,1,1,106,11.8,1,C05,,1,,Y2248
31,,9/13/06,9,2006,1,1,111,13.1,1,C05,,,,Y2248
32,3035,9/13/06,9,2006,1,1,216,97.2,3,C03,,1,,
33,3032,9/13/06,9,2006,1,1,263,186.1,5,C01,,1,,
34,1975,9/13/06,9,2006,1,1,282,233.6,6,C00,,1,,
35,1978,9/13/06,9,2006,1,1,317,301.2,6,C00,,1,,
36,1878,9/13/06,9,2006,1,1,187,60,3,C03,,1,,
37,1946,9/13/06,9,2006,1,1,265,188.6,6,C00,,1,,
38,1860,9/13/06,9,2006,1,1,172,45.5,3,C03,,,,
39,1861,9/13/06,9,2006,1,1,228,113.4,4,C02,,1,,
40,783,9/13/06,9,2006,1,1,222,111.1,4,C02,,1,,
41,3033,9/13/06,9,2006,1,1,152,35.8,2,C04,,1,,
42,1873,9/13/06,9,2006,1,1,206,84.3,3,C03,,1,,
43,1862,9/13/06,9,2006,1,1,217,96.3,4,C02,,,,
44,1864,9/13/06,9,2006,1,1,223,105.1,4,C02,,1,,
45,1899,9/13/06,9,2006,1,1,242,137.5,5,C01,,1,,
46,1963,9/13/06,9,2006,1,1,183,62.3,2,C04,,1,,
47,1900,9/13/06,9,2006,1,1,192,65.6,3,C03,,1,,
48,1982,9/13/06,9,2006,1,1,246,137.6,3,C03,,,,
49,1916,9/13/06,9,2006,1,1,152,32.8,1,C05,,1,,
50,3031,9/13/06,9,2006,1,1,194,75.2,3,C03,,1,,
51,1896,9/13/06,9,2006,1,1,153,35.1,2,C04,,1,,
52,1867,9/13/06,9,2006,1,1,207,90.5,3,C03,,1,,
53,1919,9/13/06,9,2006,1,1,161,38.4,2,C04,,1,,
54,3052,9/13/06,9,2006,1,1,140,26.5,2,C04,,,,
55,1895,9/13/06,9,2006,1,1,125,18.5,1,C05,,,,
56,3055,9/13/06,9,2006,1,1,119,16,1,C05,,,,
57,,9/13/06,9,2006,1,1,105,10.9,1,C05,,,,Y2248
58,,9/13/06,9,2006,1,1,96,8.2,1,C05,,,,Y2248
59,,9/13/06,9,2006,1,1,106,11,1,C05,,,,Y2248
60,1918,9/13/06,9,2006,2,1,232,133.4,5,C01,,1,,
61,7999,9/13/06,9,2006,2,1,184,59,2,C04,,,,
62,1863,9/13/06,9,2006,2,1,255,155.7,5,C01,,1,,
63,12170,9/13/06,9,2006,2,1,164,40.8,1,C05,,1,,
64,12163,9/13/06,9,2006,2,1,122,17.1,1,C05,,1,,
65,12955,9/10/07,9,2007,1,1,245,152,5,C02,,,,
66,1890,9/10/07,9,2007,1,1,180,58.2,3,C04,,,,
67,12941,9/10/07,9,2007,1,1,165,40.3,2,C05,,1,,
68,3057,9/10/07,9,2007,1,1,222,105,3,C04,,,,
69,12963,9/10/07,9,2007,1,1,149,30.4,2,C05,,1,,
70,1875,9/10/07,9,2007,1,1,200,80,2,C05,,,,
71,12960,9/10/07,9,2007,1,1,122,16.1,1,C06,,,,
72,1977,9/10/07,9,2007,1,1,260,177.3,4,C03,,,,
73,12170,9/10/07,9,2007,1,1,198,72.4,2,C05,,,,
74,12931,9/10/07,9,2007,1,1,125,18.6,1,C06,,,,
75,1898,9/10/07,9,2007,1,1,178,54.9,2,C05,,,,
